"_id","code","name","semester","course","active","__v","createdAt","updatedAt"
"62133f9eeda52dc24a136ff4","ITLC332-T","Microcontroller Systems (lec/lab)","null","[object Object]","true","0","2022-02-21T07:30:38.554Z","2022-02-21T07:30:38.554Z"
"62133f9eeda52dc24a136ff9","ITNET211-T","Data Communication and Networking 2 (lec/lab)","First Term","[object Object]","true","0","2022-02-21T07:30:38.554Z","2022-02-21T07:30:38.554Z"
"62133f9eeda52dc24a136ffa","ITIM211-T","Information Management (lec/lab)","First Term","[object Object]","true","0","2022-02-21T07:30:38.555Z","2022-02-21T07:30:38.555Z"
"62133f9eeda52dc24a136fff","ITCP226-T","Computer Programming 5 - Web Development (lec/lab)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.557Z","2022-02-21T07:30:38.557Z"
"62133f9eeda52dc24a137004","GEC8-T","Ethics","Third Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a13700b","ITEP310-T","IT Professional Elective 1","First Term","[object Object]","true","0","2022-02-21T07:30:38.559Z","2022-02-21T07:30:38.559Z"
"62133f9eeda52dc24a13700e","ITNET312-T","System Architecture and Integration 1 (lec/lab)","First Term","[object Object]","true","0","2022-02-21T07:30:38.559Z","2022-02-21T07:30:38.559Z"
"62133f9eeda52dc24a137011","ITCP239-T","Programming Language - Design and Implementation (lec/lab)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.560Z","2022-02-21T07:30:38.560Z"
"62133f9eeda52dc24a137014","ITCC334-T","Application Development and Emerging Technologies","Third Term","[object Object]","true","0","2022-02-21T07:30:38.560Z","2022-02-21T07:30:38.560Z"
"62133f9eeda52dc24a13701b","ITICS410-T","ICS Field Trips and Seminars (lab)","null","[object Object]","true","0","2022-02-21T07:30:38.563Z","2022-02-21T07:30:38.563Z"
"62133f9eeda52dc24a13701e","ITEP413-T","IT Professional Elective 4","null","[object Object]","true","0","2022-02-21T07:30:38.563Z","2022-02-21T07:30:38.563Z"
"62133f9eeda52dc24a13701f","GEM14-T","Life and Works of Rizal","null","[object Object]","true","0","2022-02-21T07:30:38.563Z","2022-02-21T07:30:38.563Z"
"62133f9eeda52dc24a136fca","ITMS110","Discrete Mathematics EDITED","First Term","[object Object]","true","0","2022-02-21T07:30:38.545Z","2022-03-03T16:18:24.783Z"
"62133f9eeda52dc24a136fd3","ITCM120-T","Advance HTML","Second Term","[object Object]","true","0","2022-02-21T07:30:38.547Z","2022-02-21T07:30:38.547Z"
"62133f9eeda52dc24a136fd9","NSTP2-NS-T","National Service Training Program 2 (Naval Science 2)","null","[object Object]","true","0","2022-02-21T07:30:38.548Z","2022-02-21T07:30:38.548Z"
"62133f9eeda52dc24a136fdb","GEC2-T","Readings in Philippine History","Second Term","[object Object]","true","0","2022-02-21T07:30:38.548Z","2022-02-21T07:30:38.548Z"
"62133f9eeda52dc24a136fe6","ITAS311-T","Information Assurance and Security 2","First Term","[object Object]","true","0","2022-02-21T07:30:38.550Z","2022-02-21T07:30:38.550Z"
"62133f9eeda52dc24a136fe8","ITEP310-T","IT Professional Elective 1","First Term","[object Object]","true","0","2022-02-21T07:30:38.550Z","2022-02-21T07:30:38.550Z"
"62133f9eeda52dc24a136fea","ITNET313-T","System Administration and Maintenance (lec/lab)","First Term","[object Object]","true","0","2022-02-21T07:30:38.550Z","2022-02-21T07:30:38.550Z"
"62133f9eeda52dc24a136fec","ITOS322-T","Computer Systems and Platform Technologies","Second Term","[object Object]","true","0","2022-02-21T07:30:38.551Z","2022-02-21T07:30:38.551Z"
"62133f9eeda52dc24a136fef","ITMR320-T","Quantitative Methods","Second Term","[object Object]","true","0","2022-02-21T07:30:38.553Z","2022-02-21T07:30:38.553Z"
"62133f9eeda52dc24a136ff1","ITCC334-T","Application Development and Emerging Technologies","Third Term","[object Object]","true","0","2022-02-21T07:30:38.553Z","2022-02-21T07:30:38.553Z"
"62133f9eeda52dc24a136ff3","ITCAP330-T","IT Project Capstone 1 (lec/lab)","Third Term","[object Object]","true","0","2022-02-21T07:30:38.554Z","2022-02-21T07:30:38.554Z"
"62133f9eeda52dc24a136ff6","ITSP330-T","Social and Professional Issues","Third Term","[object Object]","true","0","2022-02-21T07:30:38.554Z","2022-02-21T07:30:38.554Z"
"62133f9eeda52dc24a136ffe","ITLC221-T","Computer Organization, Architecture and Assembly (lec/lab)","null","[object Object]","true","0","2022-02-21T07:30:38.557Z","2022-02-21T07:30:38.557Z"
"62133f9eeda52dc24a137002","ITSD220-T","System Analysis and Design","Second Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a137003","ITCP237-T","Advance Web Application (lec/lab)","Third Term","[object Object]","true","0","2022-02-21T07:30:38.558Z","2022-02-21T07:30:38.558Z"
"62133f9eeda52dc24a13700a","ITCP318-T","Integrative Programming and Technology 1 (lec/lab)","First Term","[object Object]","true","0","2022-02-21T07:30:38.559Z","2022-02-21T07:30:38.559Z"
"62133f9eeda52dc24a137015","ITBM330-T","Business Intelligence","Third Term","[object Object]","true","0","2022-02-21T07:30:38.560Z","2022-02-21T07:30:38.560Z"
"62133f9eeda52dc24a137018","ITMS331-T","Numerical Methods","Third Term","[object Object]","true","0","2022-02-21T07:30:38.561Z","2022-02-21T07:30:38.561Z"
"62133f9eeda52dc24a137021","SIT-BSIT-T","Supervised Industrial Training for IT","null","[object Object]","true","0","2022-02-21T07:30:38.564Z","2022-02-21T07:30:38.564Z"
"62133f9eeda52dc24a136fd7","PE2-T","Individual & Dual Sports","Second Term","[object Object]","true","0","2022-02-21T07:30:38.547Z","2022-02-21T07:30:38.547Z"
"62133f9eeda52dc24a136fde","ITNET130-130L-T","Data Communication and Networking 1 (lec/lab)","Third Term","[object Object]","true","0","2022-02-21T07:30:38.548Z","2022-02-21T07:30:38.548Z"
"62133f9eeda52dc24a136fe0","ITIM130-T","Fundamentals of Database Systems (lec/lab)","null","[object Object]","true","0","2022-02-21T07:30:38.549Z","2022-02-21T07:30:38.549Z"
"62133f9eeda52dc24a136ff0","ITNET324-T","System Integration and Architecture 2 (lec/lab)","Second Term","[object Object]","true","0","2022-02-21T07:30:38.553Z","2022-02-21T07:30:38.553Z"
